id,label
1,1
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,0
105,0
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,0
179,0
180,1
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,0
217,1
218,0
219,0
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,0
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,0
294,1
295,1
296,1
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,0
311,0
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,1
328,0
329,1
330,0
331,0
332,0
333,1
334,1
335,1
336,0
337,0
338,1
339,0
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,1
355,1
356,1
357,0
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,1
371,1
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,0
386,1
387,1
388,0
389,0
390,1
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,1
399,0
400,1
401,0
402,1
403,1
404,0
405,0
406,0
407,0
408,1
409,0
410,1
411,1
412,1
413,0
414,1
415,1
416,0
417,1
418,0
419,1
420,0
421,0
422,0
423,0
424,1
425,1
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,1
450,1
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,0
463,0
464,1
465,1
466,0
467,0
468,0
469,1
470,1
471,1
472,1
473,1
474,0
475,0
476,1
477,0
478,1
479,0
480,1
481,0
482,0
483,0
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,1
493,0
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,0
506,1
507,1
508,0
509,0
510,1
511,0
512,1
513,0
514,0
515,0
516,0
517,1
518,0
519,1
520,1
521,1
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,0
532,1
533,0
534,1
535,1
536,1
537,0
538,0
539,0
540,0
541,1
542,1
543,0
544,1
545,1
546,0
547,0
548,0
549,0
550,1
551,0
552,1
553,0
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,1
562,1
563,0
564,1
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,0
573,0
574,0
575,1
576,0
577,1
578,1
579,1
580,0
581,1
582,1
583,0
584,1
585,1
586,1
587,1
588,1
589,0
590,0
591,0
592,1
593,0
594,1
595,0
596,0
597,1
598,0
599,0
600,1
601,0
602,0
603,1
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,1
612,1
613,0
614,0
615,1
616,1
617,0
618,0
619,1
620,0
621,1
622,0
623,1
624,1
625,1
626,0
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,0
640,0
641,1
642,0
643,0
644,0
645,1
646,1
647,1
648,1
649,1
650,0
651,1
652,1
653,0
654,0
655,1
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,1
664,1
665,0
666,0
667,1
668,1
669,1
670,0
671,1
672,1
673,1
674,0
675,0
676,0
677,1
678,0
679,1
680,1
681,0
682,1
683,0
684,1
685,0
686,0
687,0
688,1
689,1
690,0
691,1
692,0
693,1
694,0
695,1
696,0
697,0
698,1
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,1
711,0
712,0
713,1
714,0
715,1
716,1
717,1
718,0
719,1
720,1
721,0
722,0
723,1
724,0
725,0
726,0
727,1
728,0
729,0
730,0
731,0
732,1
733,0
734,1
735,1
736,1
737,0
738,1
739,1
740,1
741,0
742,0
743,1
744,1
745,0
746,0
747,1
748,0
749,0
750,0
751,1
752,0
753,0
754,0
755,1
756,0
757,0
758,1
759,1
760,0
761,0
762,1
763,1
764,0
765,0
766,0
767,1
768,1
769,0
770,0
771,0
772,1
773,0
774,0
775,1
776,1
777,1
778,0
779,1
780,0
781,1
782,0
783,1
784,1
785,0
786,0
787,1
788,1
789,1
790,0
791,1
792,0
793,1
794,0
795,1
796,0
797,0
798,1
799,0
800,1
801,0
802,1
803,1
804,1
805,0
806,0
807,1
808,1
809,1
810,0
811,0
812,0
813,0
814,0
815,1
816,1
817,0
818,1
819,0
820,0
821,1
822,0
823,1
824,1
825,1
826,0
827,0
828,1
829,1
830,1
831,0
832,0
833,0
834,0
835,0
836,1
837,1
838,0
839,1
840,1
841,0
842,1
843,1
844,0
